OBJECTID,MACRO_RS,NM_MUNICIPIO,GERES,TIPO_REGIAO,NM_MESORREGIAO
1,1,ABREU E LIMA,I,RMR,Metropolitana
2,1,AGUA PRETA,III,INTERIOR,Mata
3,1,ALIANCA,XII,INTERIOR,Mata
4,1,AMARAJI,III,INTERIOR,Mata
5,1,ARACOIABA,I,RMR,Metropolitana
6,1,BARREIROS,III,INTERIOR,Mata
7,1,BELEM DE MARIA,III,INTERIOR,Mata
8,1,BOM JARDIM,II,INTERIOR,Agreste
9,1,BUENOS AIRES,II,INTERIOR,Mata
10,1,CABO DE SANTO AGOSTINHO,I,RMR,Metropolitana
11,1,CAMARAGIBE,I,RMR,Metropolitana
12,1,CAMUTANGA,XII,INTERIOR,Mata
13,1,CARPINA,II,INTERIOR,Mata
14,1,CASINHAS,II,INTERIOR,Agreste
15,1,CATENDE,III,INTERIOR,Mata
16,1,CHA DE ALEGRIA,I,INTERIOR,Mata
17,1,CHA GRANDE,I,INTERIOR,Mata
18,1,CONDADO,XII,INTERIOR,Mata
19,1,CORTES,III,INTERIOR,Mata
20,1,CUMARU,II,INTERIOR,Agreste
21,1,ESCADA,III,INTERIOR,Mata
22,1,FEIRA NOVA,II,INTERIOR,Agreste
23,1,FERREIROS,XII,INTERIOR,Mata
24,1,GAMELEIRA,III,INTERIOR,Mata
25,1,GLORIA DO GOITA,I,INTERIOR,Mata
26,1,GOIANA,XII,INTERIOR,Mata
27,1,IGARASSU,I,RMR,Metropolitana
28,1,IPOJUCA,I,RMR,Metropolitana
29,1,ILHA DE ITAMARACA,I,RMR,Metropolitana
30,1,ITAMBE,XII,INTERIOR,Mata
31,1,ITAPISSUMA,I,RMR,Metropolitana
32,1,ITAQUITINGA,XII,INTERIOR,Mata
33,1,JABOATAO DOS GUARARAPES,I,RMR,Metropolitana
34,1,JAQUEIRA,III,INTERIOR,Mata
35,1,JOAO ALFREDO,II,INTERIOR,Agreste
36,1,JOAQUIM NABUCO,III,INTERIOR,Mata
37,1,LAGOA DO CARRO,II,INTERIOR,Mata
38,1,LAGOA DE ITAENGA,II,INTERIOR,Mata
39,1,LAGOA DOS GATOS,III,INTERIOR,Mata
40,1,LIMOEIRO,II,INTERIOR,Agreste
41,1,MACAPARANA,XII,INTERIOR,Mata
42,1,MACHADOS,II,INTERIOR,Agreste
43,1,MARAIAL,III,INTERIOR,Mata
44,1,MORENO,I,RMR,Metropolitana
45,1,NAZARE DA MATA,II,INTERIOR,Mata
46,1,OLINDA,I,RMR,Metropolitana
47,1,OROBO,II,INTERIOR,Agreste
48,1,PALMARES,III,INTERIOR,Mata
49,1,PASSIRA,II,INTERIOR,Agreste
50,1,PAUDALHO,II,INTERIOR,Mata
51,1,PAULISTA,I,RMR,Metropolitana
52,1,POMBOS,I,INTERIOR,Mata
53,1,PRIMAVERA,III,INTERIOR,Mata
54,1,QUIPAPA,III,INTERIOR,Mata
55,1,RECIFE,I,RMR,Metropolitana
56,1,RIBEIRAO,III,INTERIOR,Mata
57,1,RIO FORMOSO,III,INTERIOR,Mata
58,1,SALGADINHO,II,INTERIOR,Agreste
59,1,SAO BENEDITO DO SUL,III,INTERIOR,Mata
60,1,SAO JOSE DA COROA GRANDE,III,INTERIOR,Mata
61,1,SAO LOURENCO DA MATA,I,RMR,Metropolitana
62,1,SAO VICENTE FERRER,XII,INTERIOR,Mata
63,1,SIRINHAEM,III,INTERIOR,Mata
64,1,SURUBIM,II,INTERIOR,Agreste
65,1,TAMANDARE,III,INTERIOR,Mata
66,1,TIMBAUBA,XII,INTERIOR,Mata
67,1,TRACUNHAEM,II,INTERIOR,Mata
68,1,VERTENTE DO LERIO,II,INTERIOR,Agreste
69,1,VICENCIA,II,INTERIOR,Mata
70,1,VITORIA DE SANTO ANTAO,I,INTERIOR,Mata
71,1,XEXEU,III,INTERIOR,Mata
72,2,AGRESTINA,IV,INTERIOR,Agreste
73,2,AGUAS BELAS,V,INTERIOR,Agreste
74,2,ALAGOINHA,IV,INTERIOR,Agreste
75,2,ALTINHO,IV,INTERIOR,Agreste
76,2,ANGELIM,V,INTERIOR,Agreste
77,2,BARRA DE GUABIRABA,IV,INTERIOR,Agreste
78,2,BELO JARDIM,IV,INTERIOR,Agreste
79,2,BEZERROS,IV,INTERIOR,Agreste
80,2,BOM CONSELHO,V,INTERIOR,Agreste
81,2,BONITO,IV,INTERIOR,Agreste
82,2,BREJAO,V,INTERIOR,Agreste
83,2,BREJO DA MADRE DE DEUS,IV,INTERIOR,Agreste
84,2,CACHOEIRINHA,IV,INTERIOR,Agreste
85,2,CAETES,V,INTERIOR,Agreste
86,2,CALCADO,V,INTERIOR,Agreste
87,2,CAMOCIM DE SAO FELIX,IV,INTERIOR,Agreste
88,2,CANHOTINHO,V,INTERIOR,Agreste
89,2,CAPOEIRAS,V,INTERIOR,Agreste
90,2,CARUARU,IV,INTERIOR,Agreste
91,2,CORRENTES,V,INTERIOR,Agreste
92,2,CUPIRA,IV,INTERIOR,Agreste
93,2,FREI MIGUELINHO,IV,INTERIOR,Agreste
94,2,GARANHUNS,V,INTERIOR,Agreste
95,2,GRAVATA,IV,INTERIOR,Agreste
96,2,IATI,V,INTERIOR,Agreste
97,2,IBIRAJUBA,IV,INTERIOR,Agreste
98,2,ITAIBA,V,INTERIOR,Agreste
99,2,JATAUBA,IV,INTERIOR,Agreste
100,2,JUCATI,V,INTERIOR,Agreste
101,2,JUPI,V,INTERIOR,Agreste
102,2,JUREMA,IV,INTERIOR,Agreste
103,2,LAGOA DO OURO,V,INTERIOR,Agreste
104,2,LAJEDO,V,INTERIOR,Agreste
105,2,PALMEIRINA,V,INTERIOR,Agreste
106,2,PANELAS,IV,INTERIOR,Agreste
107,2,PARANATAMA,V,INTERIOR,Agreste
108,2,PESQUEIRA,IV,INTERIOR,Agreste
109,2,POCAO,IV,INTERIOR,Agreste
110,2,RIACHO DAS ALMAS,IV,INTERIOR,Agreste
111,2,SAIRE,IV,INTERIOR,Agreste
112,2,SALOA,V,INTERIOR,Agreste
113,2,SANHARO,IV,INTERIOR,Agreste
114,2,SANTA CRUZ DO CAPIBARIBE,IV,INTERIOR,Agreste
115,2,SANTA MARIA DO CAMBUCA,IV,INTERIOR,Agreste
116,2,SAO BENTO DO UNA,IV,INTERIOR,Agreste
117,2,SAO CAITANO,IV,INTERIOR,Agreste
118,2,SAO JOAO,V,INTERIOR,Agreste
119,2,SAO JOAQUIM DO MONTE,IV,INTERIOR,Agreste
120,2,TACAIMBO,IV,INTERIOR,Agreste
121,2,TAQUARITINGA DO NORTE,IV,INTERIOR,Agreste
122,2,TEREZINHA,V,INTERIOR,Agreste
123,2,TORITAMA,IV,INTERIOR,Agreste
124,2,VERTENTES,IV,INTERIOR,Agreste
125,3,AFOGADOS DA INGAZEIRA,X,INTERIOR,Sertão
126,3,ARCOVERDE,VI,INTERIOR,Sertão
127,3,BETANIA,XI,INTERIOR,São Francisco
128,3,BREJINHO,X,INTERIOR,Sertão
129,3,BUIQUE,VI,INTERIOR,Agreste
130,3,CALUMBI,XI,INTERIOR,Sertão
131,3,CARNAIBA,X,INTERIOR,Sertão
132,3,CARNAUBEIRA DA PENHA,XI,INTERIOR,São Francisco
133,3,CUSTODIA,VI,INTERIOR,Sertão
134,1,FERNANDO DE NORONHA,I,RMR,Metropolitana
135,3,FLORES,XI,INTERIOR,Sertão
136,3,FLORESTA,XI,INTERIOR,São Francisco
137,3,IBIMIRIM,VI,INTERIOR,Sertão
138,3,IGUARACY,X,INTERIOR,Sertão
139,3,INAJA,VI,INTERIOR,Sertão
140,3,INGAZEIRA,X,INTERIOR,Sertão
141,3,ITACURUBA,XI,INTERIOR,São Francisco
142,3,ITAPETIM,X,INTERIOR,Sertão
143,3,JATOBA,VI,INTERIOR,São Francisco
144,3,MANARI,VI,INTERIOR,Sertão
145,3,PEDRA,VI,INTERIOR,Agreste
146,3,PETROLANDIA,VI,INTERIOR,São Francisco
147,3,QUIXABA,X,INTERIOR,Sertão
148,3,SANTA CRUZ DA BAIXA VERDE,XI,INTERIOR,Sertão
149,3,SANTA TEREZINHA,X,INTERIOR,Sertão
150,3,SAO JOSE DO BELMONTE,XI,INTERIOR,Sertão
151,3,SAO JOSE DO EGITO,X,INTERIOR,Sertão
152,3,SERRA TALHADA,XI,INTERIOR,Sertão
153,3,SERTANIA,VI,INTERIOR,Sertão
154,3,SOLIDAO,X,INTERIOR,Sertão
155,3,TABIRA,X,INTERIOR,Sertão
156,3,TACARATU,VI,INTERIOR,São Francisco
157,3,TRIUNFO,XI,INTERIOR,Sertão
158,3,TUPANATINGA,VI,INTERIOR,Agreste
159,3,TUPARETAMA,X,INTERIOR,Sertão
160,3,VENTUROSA,VI,INTERIOR,Agreste
161,4,AFRANIO,VIII,INTERIOR,São Francisco
162,4,ARARIPINA,IX,INTERIOR,Sertão
163,4,BELEM DE SAO FRANCISCO,VII,INTERIOR,São Francisco
164,4,BODOCO,IX,INTERIOR,Sertão
165,4,CABROBO,VIII,INTERIOR,São Francisco
166,4,CEDRO,VII,INTERIOR,Sertão
167,4,DORMENTES,VIII,INTERIOR,São Francisco
168,4,EXU,IX,INTERIOR,Sertão
169,4,GRANITO,IX,INTERIOR,Sertão
170,4,IPUBI,IX,INTERIOR,Sertão
171,4,LAGOA GRANDE,VIII,INTERIOR,São Francisco
172,4,MIRANDIBA,VII,INTERIOR,Sertão
173,4,OROCO,VIII,INTERIOR,São Francisco
174,4,OURICURI,IX,INTERIOR,Sertão
175,4,PARNAMIRIM,IX,INTERIOR,Sertão
176,4,PETROLINA,VIII,INTERIOR,São Francisco
