DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Mês notificação
Período:2022
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - PE";-;-;-;-;-;-;-;-;-;-;-;-;-
"260005 ABREU E LIMA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260010 AFOGADOS DA INGAZEIRA";2;2;2;19;18;22;8;15;6;5;2;3;104
"260020 AFRANIO";1;5;24;44;55;-;-;-;-;-;-;-;129
"260030 AGRESTINA";-;-;-;2;1;2;2;5;2;-;-;-;14
"260040 AGUA PRETA";-;-;-;-;-;2;-;3;-;-;-;-;5
"260050 AGUAS BELAS";-;-;-;1;6;1;1;3;-;-;-;-;12
"260060 ALAGOINHA";-;-;-;-;2;-;4;1;-;-;-;-;7
"260070 ALIANCA";-;-;2;7;18;2;-;1;-;-;-;1;31
"260080 ALTINHO";-;8;9;24;32;20;2;7;12;3;-;-;117
"260090 AMARAJI";-;2;-;6;37;17;12;6;1;-;-;1;82
"260100 ANGELIM";-;-;-;13;4;-;-;-;-;-;-;-;17
"260105 ARACOIABA";22;42;1;38;69;30;24;10;17;28;21;12;314
"260110 ARARIPINA";-;1;1;1;4;3;4;2;-;1;-;-;17
"260120 ARCOVERDE";-;1;-;5;18;23;5;9;2;2;6;13;84
"260130 BARRA DE GUABIRABA";8;15;27;22;35;6;1;-;-;-;-;1;115
"260140 BARREIROS";-;-;2;1;11;20;16;22;4;2;3;-;81
"260150 BELEM DE MARIA";-;-;-;-;2;-;-;-;-;-;-;-;2
"260160 BELEM DE SAO FRANCISCO";1;11;-;4;1;-;1;-;-;-;-;-;18
"260170 BELO JARDIM";1;-;1;1;4;2;1;-;-;-;-;-;10
"260180 BETANIA";-;-;-;-;9;2;1;-;-;1;-;1;14
"260190 BEZERROS";-;-;-;1;3;1;-;-;-;-;-;-;5
"260200 BODOCO";-;-;-;1;-;-;-;-;-;-;-;-;1
"260210 BOM CONSELHO";2;-;-;-;5;-;-;-;-;-;-;-;7
"260220 BOM JARDIM";-;-;33;-;6;5;1;1;-;2;-;-;48
"260230 BONITO";-;-;-;16;6;-;-;-;-;-;-;1;23
"260240 BREJAO";-;-;-;4;99;24;-;-;-;-;-;-;127
"260250 BREJINHO";1;1;-;1;2;-;8;1;1;1;4;1;21
"260260 BREJO DA MADRE DE DEUS";-;-;-;-;5;7;11;8;3;-;5;2;41
"260270 BUENOS AIRES";-;-;-;-;2;1;-;1;-;-;-;-;4
"260280 BUIQUE";1;-;10;49;189;156;60;18;6;3;1;2;495
"260290 CABO DE SANTO AGOSTINHO";1;1;4;9;-;5;8;4;1;1;2;5;41
"260300 CABROBO";12;42;64;35;18;3;4;-;-;-;-;-;178
"260310 CACHOEIRINHA";-;-;-;-;1;1;-;2;-;1;-;-;5
"260320 CAETES";-;-;-;-;-;-;-;-;-;-;-;-;-
"260330 CALCADO";-;-;-;2;3;-;-;-;-;-;-;-;5
"260340 CALUMBI";-;-;1;2;5;2;-;1;-;-;-;-;11
"260345 CAMARAGIBE";-;-;-;1;1;-;2;1;1;1;1;1;9
"260350 CAMOCIM DE SAO FELIX";-;-;2;3;5;4;-;-;-;-;1;-;15
"260360 CAMUTANGA";-;3;2;5;6;-;-;-;-;-;-;-;16
"260370 CANHOTINHO";2;4;10;7;7;-;-;-;-;-;-;-;30
"260380 CAPOEIRAS";-;-;-;-;1;1;-;1;1;-;-;-;4
"260390 CARNAIBA";-;-;3;42;47;17;1;2;3;-;2;-;117
"260392 CARNAUBEIRA DA PENHA";-;1;30;26;16;4;1;-;-;-;-;-;78
"260400 CARPINA";-;-;4;5;11;22;4;3;-;-;-;4;53
"260410 CARUARU";7;6;17;37;123;50;25;30;21;17;14;5;352
"260415 CASINHAS";-;-;-;-;-;-;-;-;-;-;-;-;-
"260420 CATENDE";-;-;-;-;-;-;-;-;-;-;-;-;-
"260430 CEDRO";-;1;3;6;4;7;3;1;-;-;-;-;25
"260440 CHA DE ALEGRIA";-;-;-;1;-;-;-;-;-;-;-;-;1
"260450 CHA GRANDE";-;-;-;-;1;-;2;14;8;2;3;2;32
"260460 CONDADO";-;1;-;1;2;-;-;1;-;-;-;-;5
"260470 CORRENTES";-;-;-;-;-;62;13;7;-;-;1;-;83
"260480 CORTES";-;-;-;-;3;3;2;4;-;-;-;-;12
"260490 CUMARU";1;1;1;1;9;4;5;-;-;-;-;-;22
"260500 CUPIRA";-;1;7;17;26;12;17;24;8;3;9;10;134
"260510 CUSTODIA";-;-;-;12;9;5;1;-;-;-;-;-;27
"260515 DORMENTES";-;3;13;13;3;2;-;-;1;-;1;4;40
"260520 ESCADA";5;-;2;3;2;-;-;4;2;2;4;-;24
"260530 EXU";-;-;1;-;2;1;-;1;-;-;-;4;9
"260540 FEIRA NOVA";-;-;-;-;7;2;2;-;1;-;-;-;12
"260545 FERNANDO DE NORONHA";-;2;1;6;8;6;7;14;20;15;-;-;79
"260550 FERREIROS";-;1;12;15;9;-;-;-;-;-;-;-;37
"260560 FLORES";-;-;1;-;-;-;-;-;-;-;-;-;1
"260570 FLORESTA";-;11;33;26;11;-;-;1;-;1;-;-;83
"260580 FREI MIGUELINHO";-;-;-;13;3;-;-;3;2;-;1;-;22
"260590 GAMELEIRA";-;-;1;1;3;5;10;5;7;15;5;3;55
"260600 GARANHUNS";4;2;8;36;90;83;15;25;20;17;36;16;352
"260610 GLORIA DO GOITA";-;-;-;-;-;1;-;-;-;-;-;-;1
"260620 GOIANA";4;11;12;20;29;24;25;32;12;12;27;18;226
"260630 GRANITO";-;2;21;28;32;9;10;7;3;2;1;-;115
"260640 GRAVATA";-;-;12;16;13;13;6;4;14;3;-;-;81
"260650 IATI";-;-;-;-;-;-;-;-;-;-;-;-;-
"260660 IBIMIRIM";-;-;-;1;6;2;1;-;1;1;-;-;12
"260670 IBIRAJUBA";-;-;5;2;8;-;-;-;-;-;-;-;15
"260680 IGARASSU";4;9;11;46;62;47;33;12;13;22;30;15;304
"260690 IGUARACY";-;-;-;2;9;3;2;1;1;-;-;-;18
"260700 INAJA";-;-;-;-;1;1;2;4;-;-;-;-;8
"260710 INGAZEIRA";1;-;8;4;2;-;-;-;-;-;-;-;15
"260720 IPOJUCA";-;1;4;3;3;-;1;4;2;1;1;2;22
