DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Mês notificação
Período:2023
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Total"
" MUNICIPIO IGNORADO - PE";-;-;-;-;-;-;-;-
"260005 ABREU E LIMA";-;-;-;-;-;-;-;-
"260010 AFOGADOS DA INGAZEIRA";4;4;4;4;9;3;3;31
"260020 AFRANIO";-;1;27;7;3;1;-;39
"260030 AGRESTINA";-;-;-;-;1;-;-;1
"260040 AGUA PRETA";-;-;1;-;-;-;-;1
"260050 AGUAS BELAS";-;-;-;10;2;-;-;12
"260060 ALAGOINHA";-;-;1;-;3;18;3;25
"260070 ALIANCA";-;-;-;-;5;9;-;14
"260080 ALTINHO";-;-;-;-;-;2;-;2
"260090 AMARAJI";-;1;-;-;-;-;-;1
"260100 ANGELIM";-;-;-;-;-;-;-;-
"260105 ARACOIABA";3;19;27;62;15;6;1;133
"260110 ARARIPINA";1;1;2;3;2;-;-;9
"260120 ARCOVERDE";2;9;4;10;5;11;3;44
"260130 BARRA DE GUABIRABA";-;2;2;1;-;-;-;5
"260140 BARREIROS";-;1;-;-;2;-;-;3
"260150 BELEM DE MARIA";-;-;-;-;-;-;-;-
"260160 BELEM DE SAO FRANCISCO";-;-;2;5;-;-;-;7
"260170 BELO JARDIM";-;-;1;2;-;-;-;3
"260180 BETANIA";-;1;3;-;6;1;2;13
"260190 BEZERROS";-;-;-;7;1;1;-;9
"260200 BODOCO";-;-;9;12;-;2;-;23
"260210 BOM CONSELHO";-;-;6;5;-;1;-;12
"260220 BOM JARDIM";-;-;-;2;-;-;1;3
"260230 BONITO";-;1;3;-;1;-;-;5
"260240 BREJAO";-;-;24;17;24;17;-;82
"260250 BREJINHO";-;-;1;-;1;12;-;14
"260260 BREJO DA MADRE DE DEUS";-;-;-;15;2;2;-;19
"260270 BUENOS AIRES";-;-;-;-;-;-;-;-
"260280 BUIQUE";-;-;11;27;20;22;2;82
"260290 CABO DE SANTO AGOSTINHO";5;5;19;12;7;10;-;58
"260300 CABROBO";-;-;-;1;-;4;-;5
"260310 CACHOEIRINHA";-;-;-;-;-;-;-;-
"260320 CAETES";-;-;-;-;-;-;-;-
"260330 CALCADO";-;-;-;-;-;-;-;-
"260340 CALUMBI";-;-;-;-;1;-;-;1
"260345 CAMARAGIBE";1;-;3;-;2;4;-;10
"260350 CAMOCIM DE SAO FELIX";-;1;-;-;-;-;-;1
"260360 CAMUTANGA";-;-;1;-;1;-;-;2
"260370 CANHOTINHO";-;-;-;-;-;-;-;-
"260380 CAPOEIRAS";-;-;1;-;-;-;-;1
"260390 CARNAIBA";-;-;4;17;2;-;-;23
"260392 CARNAUBEIRA DA PENHA";-;-;-;-;-;1;-;1
"260400 CARPINA";1;-;-;-;1;-;-;2
"260410 CARUARU";4;10;11;31;86;139;27;308
"260415 CASINHAS";-;-;-;-;-;-;-;-
"260420 CATENDE";-;-;-;-;-;-;-;-
"260430 CEDRO";-;-;1;-;1;1;-;3
"260440 CHA DE ALEGRIA";-;-;7;5;8;4;1;25
"260450 CHA GRANDE";-;-;-;7;8;2;-;17
"260460 CONDADO";-;-;-;-;-;-;-;-
"260470 CORRENTES";-;-;-;-;-;8;-;8
"260480 CORTES";-;-;-;-;-;-;-;-
"260490 CUMARU";2;-;-;-;-;-;-;2
"260500 CUPIRA";1;3;7;3;1;5;1;21
"260510 CUSTODIA";-;1;1;-;11;24;4;41
"260515 DORMENTES";5;4;10;6;47;60;7;139
"260520 ESCADA";4;8;22;19;6;3;-;62
"260530 EXU";6;35;90;63;53;7;2;256
"260540 FEIRA NOVA";-;-;-;-;-;1;1;2
"260545 FERNANDO DE NORONHA";-;-;-;20;2;-;-;22
"260550 FERREIROS";-;-;-;-;-;-;-;-
"260560 FLORES";-;-;-;-;-;-;-;-
"260570 FLORESTA";-;-;1;-;-;-;-;1
"260580 FREI MIGUELINHO";1;1;2;2;-;-;-;6
"260590 GAMELEIRA";-;11;24;1;1;-;-;37
"260600 GARANHUNS";1;16;24;17;12;26;3;99
"260610 GLORIA DO GOITA";-;-;-;-;-;-;-;-
"260620 GOIANA";21;26;75;33;25;17;8;205
"260630 GRANITO";5;6;11;28;10;24;4;88
"260640 GRAVATA";14;-;19;173;143;90;21;460
"260650 IATI";-;-;-;-;-;1;-;1
"260660 IBIMIRIM";-;-;1;-;1;-;-;2
"260670 IBIRAJUBA";-;-;-;-;-;-;-;-
"260680 IGARASSU";18;36;37;50;16;25;9;191
"260690 IGUARACY";-;-;-;-;4;3;-;7
"260700 INAJA";-;-;1;-;3;10;1;15
"260710 INGAZEIRA";-;-;-;-;-;-;-;-
"260720 IPOJUCA";-;-;1;-;-;3;-;4
"260730 IPUBI";5;22;3;-;-;-;-;30
"260740 ITACURUBA";1;-;1;1;3;2;1;9
"260750 ITAIBA";9;3;70;34;15;9;1;141
"260760 ILHA DE ITAMARACA";-;-;-;-;-;-;-;-
"260765 ITAMBE";-;-;-;-;-;-;-;-
"260770 ITAPETIM";-;-;-;-;-;2;2;4
"260775 ITAPISSUMA";-;-;2;2;6;-;-;10
"260780 ITAQUITINGA";-;3;8;4;3;7;-;25
"260790 JABOATAO DOS GUARARAPES";23;102;202;158;168;150;38;841
"260795 JAQUEIRA";-;-;-;-;-;-;-;-
"260800 JATAUBA";1;1;1;1;3;18;-;25
"260805 JATOBA";-;-;-;-;-;-;-;-
"260810 JOAO ALFREDO";1;-;-;-;-;1;-;2
"260820 JOAQUIM NABUCO";-;-;-;-;-;-;-;-
"260825 JUCATI";-;-;6;6;-;-;-;12
"260830 JUPI";-;-;-;-;-;-;-;-
"260840 JUREMA";-;1;1;2;-;1;1;6
"260845 LAGOA DO CARRO";-;5;4;6;13;1;1;30
"260850 LAGOA DE ITAENGA";-;-;-;-;-;-;-;-
"260860 LAGOA DO OURO";-;-;3;-;-;2;-;5
"260870 LAGOA DOS GATOS";-;-;-;-;-;-;1;1
"260875 LAGOA GRANDE";-;-;-;-;-;-;-;-
"260880 LAJEDO";-;-;-;1;-;-;-;1
"260890 LIMOEIRO";5;18;17;15;5;8;-;68
"260900 MACAPARANA";-;-;-;-;-;-;-;-
"260910 MACHADOS";-;-;-;-;-;-;-;-
"260915 MANARI";-;1;1;2;2;-;-;6
"260920 MARAIAL";-;-;-;-;-;-;-;-
