DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Mês Notificação
Período:2012
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - PE";-;-;-;-;-;-;-;-;-;-;-;-;-
"260005 ABREU E LIMA";13;36;119;64;9;4;3;2;1;-;2;1;254
"260010 AFOGADOS DA INGAZEIRA";86;507;645;546;138;49;33;7;-;1;-;-;2012
"260020 AFRANIO";-;1;-;5;5;-;-;-;-;-;-;-;11
"260030 AGRESTINA";-;-;-;11;9;1;1;-;1;2;-;-;25
"260040 AGUA PRETA";-;-;-;2;2;3;1;1;-;2;2;-;13
"260050 AGUAS BELAS";-;3;9;13;7;3;-;-;1;-;-;-;36
"260060 ALAGOINHA";1;-;3;17;10;5;3;-;-;-;-;-;39
"260070 ALIANCA";-;7;28;40;12;1;1;-;-;-;-;-;89
"260080 ALTINHO";5;10;42;107;67;11;2;-;-;-;-;-;244
"260090 AMARAJI";-;-;1;1;1;1;-;-;-;-;-;-;4
"260100 ANGELIM";-;-;-;-;-;1;4;-;-;-;-;-;5
"260105 ARACOIABA";-;1;2;2;-;-;-;-;-;-;-;-;5
"260110 ARARIPINA";42;49;40;24;6;3;-;-;1;-;-;1;166
"260120 ARCOVERDE";11;29;39;35;10;4;-;-;1;2;4;1;136
"260130 BARRA DE GUABIRABA";-;-;2;-;-;-;-;-;-;-;-;-;2
"260140 BARREIROS";-;-;-;-;-;-;1;-;-;-;-;-;1
"260150 BELEM DE MARIA";-;-;-;-;1;1;-;-;-;-;-;-;2
"260160 BELEM DE SAO FRANCISCO";-;-;2;-;-;-;-;-;-;1;-;-;3
"260170 BELO JARDIM";-;-;1;5;2;-;-;-;-;-;-;-;8
"260180 BETANIA";1;-;-;2;5;-;4;2;-;-;-;-;14
"260190 BEZERROS";4;10;53;25;3;-;1;-;-;-;-;-;96
"260200 BODOCO";24;10;3;2;1;1;-;-;-;-;-;-;41
"260210 BOM CONSELHO";-;-;-;14;12;9;4;-;-;-;-;-;39
"260220 BOM JARDIM";-;5;72;40;10;1;-;-;-;-;-;-;128
"260230 BONITO";2;-;2;1;4;1;-;2;1;-;-;-;13
"260240 BREJAO";-;1;-;2;3;2;-;-;-;-;-;-;8
"260250 BREJINHO";-;-;5;15;4;-;-;-;-;-;-;-;24
"260260 BREJO DA MADRE DE DEUS";1;5;17;26;27;8;3;-;-;-;-;-;87
"260270 BUENOS AIRES";-;3;2;3;1;-;-;-;-;-;-;-;9
"260280 BUIQUE";-;2;3;5;4;3;-;-;-;-;1;1;19
"260290 CABO DE SANTO AGOSTINHO";20;46;331;323;252;133;156;101;14;6;2;9;1393
"260300 CABROBO";-;-;-;1;-;1;-;-;-;2;1;-;5
"260310 CACHOEIRINHA";-;-;5;2;1;1;-;-;-;-;-;-;9
"260320 CAETES";-;-;-;-;-;-;2;-;-;-;-;-;2
"260330 CALCADO";-;-;2;19;43;13;-;1;-;-;-;-;78
"260340 CALUMBI";-;-;7;2;-;-;1;-;-;-;-;-;10
"260345 CAMARAGIBE";59;48;34;7;5;2;1;-;-;-;-;-;156
"260350 CAMOCIM DE SAO FELIX";-;-;-;2;-;-;-;-;-;-;-;-;2
"260360 CAMUTANGA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260370 CANHOTINHO";-;-;-;-;7;5;2;-;1;-;-;-;15
"260380 CAPOEIRAS";-;-;-;2;4;2;1;-;-;-;-;-;9
"260390 CARNAIBA";1;15;49;44;11;1;-;-;-;-;-;-;121
"260392 CARNAUBEIRA DA PENHA";-;-;-;-;1;-;-;-;-;-;-;-;1
"260400 CARPINA";131;64;49;28;12;4;3;3;2;-;-;-;296
"260410 CARUARU";19;54;61;69;26;12;12;3;5;2;1;1;265
"260415 CASINHAS";1;2;12;11;11;-;-;-;-;-;-;-;37
"260420 CATENDE";-;-;-;-;-;-;-;-;-;-;-;-;-
"260430 CEDRO";3;-;5;33;29;6;-;-;-;-;-;-;76
"260440 CHA DE ALEGRIA";1;-;-;-;-;-;-;-;-;-;-;-;1
"260450 CHA GRANDE";-;4;3;5;13;2;1;-;-;-;-;-;28
"260460 CONDADO";12;52;123;64;22;10;5;-;-;-;2;4;294
"260470 CORRENTES";-;-;-;-;3;6;2;4;-;-;-;-;15
"260480 CORTES";-;-;-;1;4;-;-;-;-;-;-;-;5
"260490 CUMARU";-;8;17;4;8;5;-;-;-;-;-;1;43
"260500 CUPIRA";-;-;3;3;-;2;-;-;-;-;-;-;8
"260510 CUSTODIA";5;5;5;7;1;-;-;-;-;-;-;-;23
"260515 DORMENTES";2;9;5;4;2;-;-;-;-;-;-;-;22
"260520 ESCADA";-;-;-;1;2;3;-;-;-;-;-;-;6
"260530 EXU";265;140;26;5;1;-;-;-;-;-;-;-;437
"260540 FEIRA NOVA";18;1;-;-;-;-;-;-;-;-;-;-;19
"260545 FERNANDO DE NORONHA";1;-;14;41;38;12;6;-;-;-;-;-;112
"260550 FERREIROS";-;-;-;-;-;-;-;-;-;-;-;-;-
"260560 FLORES";-;-;15;12;1;-;-;-;-;-;-;-;28
"260570 FLORESTA";1;-;7;20;14;4;1;-;-;-;-;-;47
"260580 FREI MIGUELINHO";5;-;-;-;-;-;-;-;-;-;-;-;5
